25 50,25 50,25 50,25 50,25 50,25 50,25 50
n:25,n:25,n:25,n:25,n:25,n:25,n:25
elapsed time = 3148 msec.,elapsed time = 3197 msec.,elapsed time = 3209 msec.,elapsed time = 3198 msec.,elapsed time = 3231 msec.,elapsed time = 3095 msec.,elapsed time = 3184 msec.
33554432,33554432,33554432,33554432,33554432,33554432,33554432
1,1,1,1,1,1,1
25,25,25,25,25,25,25
300,300,300,300,300,300,300
2300,2300,2300,2300,2300,2300,2300
12650,12650,12650,12650,12650,12650,12650
53130,53130,53130,53130,53130,53130,53130
177100,177100,177100,177100,177100,177100,177100
480700,480700,480700,480700,480700,480700,480700
1081575,1081575,1081575,1081575,1081575,1081575,1081575
2042975,2042975,2042975,2042975,2042975,2042975,2042975
3268760,3268760,3268760,3268760,3268760,3268760,3268760
4457400,4457400,4457400,4457400,4457400,4457400,4457400
5200300,5200300,5200300,5200300,5200300,5200300,5200300
5200300,5200300,5200300,5200300,5200300,5200300,5200300
4457400,4457400,4457400,4457400,4457400,4457400,4457400
3268760,3268760,3268760,3268760,3268760,3268760,3268760
2042975,2042975,2042975,2042975,2042975,2042975,2042975
1081575,1081575,1081575,1081575,1081575,1081575,1081575
480700,480700,480700,480700,480700,480700,480700
177100,177100,177100,177100,177100,177100,177100
53130,53130,53130,53130,53130,53130,53130
12650,12650,12650,12650,12650,12650,12650
2300,2300,2300,2300,2300,2300,2300
300,300,300,300,300,300,300
25,25,25,25,25,25,25
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

